date,number
3/1/2020,57
3/2/2020,98
3/3/2020,97
3/4/2020,100
3/5/2020,104
3/6/2020,105
3/7/2020,79
3/8/2020,57
3/9/2020,95
3/10/2020,96
3/11/2020,99
3/12/2020,98
3/13/2020,93
3/14/2020,53
3/15/2020,22
3/16/2020,57
3/17/2020,38
3/18/2020,29
3/19/2020,30
3/20/2020,39
3/21/2020,3
3/22/2020,0
3/23/2020,4
3/24/2020,3
3/25/2020,0
3/26/2020,6
3/27/2020,11
3/28/2020,0
3/29/2020,0
3/30/2020,8
3/31/2020,0
4/1/2020,0
4/2/2020,0
4/3/2020,2
4/4/2020,0
4/5/2020,0
4/6/2020,0
4/7/2020,0
4/8/2020,1
4/9/2020,0
4/10/2020,1
4/11/2020,0
4/12/2020,0
4/13/2020,0
4/14/2020,0
4/15/2020,0
4/16/2020,1
4/17/2020,5
4/18/2020,0
4/19/2020,0
4/21/2020,3
4/22/2020,8
4/23/2020,5
4/24/2020,6
4/25/2020,3
4/26/2020,0
4/27/2020,3
4/28/2020,5
4/29/2020,10
4/30/2020,0
5/1/2020,18
5/2/2020,14
5/3/2020,0
5/4/2020,5
5/5/2020,7
5/6/2020,4
5/7/2020,7
5/8/2020,9
5/9/2020,2
5/10/2020,2
5/11/2020,1
5/12/2020,5
5/13/2020,3
5/14/2020,3
5/15/2020,22
5/16/2020,20
5/17/2020,3
5/18/2020,10
5/19/2020,7
5/20/2020,20
5/21/2020,27
5/22/2020,29
5/23/2020,24
5/24/2020,9
5/25/2020,7
5/26/2020,29
5/27/2020,31
5/28/2020,19
5/30/2020,23
5/31/2020,5
6/1/2020,37
6/2/2020,27
6/3/2020,45
6/4/2020,35
6/5/2020,41
6/6/2020,39
6/7/2020,19
6/8/2020,42
6/9/2020,45
6/10/2020,37
6/11/2020,40
6/12/2020,44
6/13/2020,44
6/14/2020,14
6/15/2020,30
6/16/2020,35
6/17/2020,42
6/18/2020,46
6/19/2020,53
6/20/2020,36
6/21/2020,27
6/22/2020,30
6/23/2020,47
6/24/2020,47
6/25/2020,55
6/26/2020,61
6/27/2020,51
6/28/2020,26
6/29/2020,38
6/30/2020,57
7/1/2020,56
7/2/2020,61
7/3/2020,62
7/4/2020,42
7/5/2020,27
7/6/2020,45
7/7/2020,50
7/8/2020,63
7/9/2020,60
7/10/2020,65
7/11/2020,58
7/12/2020,48
7/13/2020,56
7/14/2020,75
7/15/2020,63
7/16/2020,57
7/17/2020,84
7/18/2020,54
7/19/2020,27
7/20/2020,39
7/21/2020,44
7/22/2020,41
7/23/2020,43
7/24/2020,55
7/25/2020,41
7/26/2020,21
7/27/2020,40
